metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;dmpc(frontal_medial_cortex).nii;0.13396206791774914;0.011390056120697763;249;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_blaue_karfunkel;vmpfc(frontal_medial_cortex)_L.nii;0.133552556;1.5115384406772862e-05;937865;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Ant_parahippocampal_gyrus_L.nii;0.1330125195750732;0.005085967;262;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Ant_parahippocampal_gyrus_R.nii;0.1330125195750732;0.005085967;262;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;EC_cortex_L.nii;0.1330125195750732;-0.000492586;194;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Occipital_Fusiform_Gyrus_R.nii;0.13268225720056442;0.033380054739628476;274;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Occipital_Fusiform_Gyrus_L.nii;0.13268225720056442;0.033380054739628476;274;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Paracingulate_gyrus.nii;0.13250828327192926;0.004097501;809;17;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;Precuenus_cortex.nii;0.13175884560722875;-0.017579023;1413;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Temporal_Pole_R.nii;0.13165527455169632;0.006614204;1333;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Temporal_Pole_L.nii;0.13165527455169632;0.006614204;1333;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Post_Middle_temporal_gyrus_L.nii;0.13063349557952247;0.014832610892400207;307;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Post_Middle_temporal_gyrus_R.nii;0.13063349557952247;0.014832610892400207;307;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;das_manuskript_in_der_flasche;sup_frontal_gyrus.nii;0.130078232;0.009786478;625;15;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Ant_parahippocampal_gyrus_L.nii;0.12953812813996657;0.00459665;262;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;EC_cortex_R.nii;0.12953812813996657;0.005938799;203;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Ant_parahippocampal_gyrus_R.nii;0.12953812813996657;0.00459665;262;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;SMA.nii;0.12797361933678392;0.017244496655777295;322;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;sup_frontal_gyrus.nii;0.12740734950400823;-0.03168285;625;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Post_Supramarginal_gryus_L.nii;0.1270715590636599;0.007685236;192;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;Post_Supramarginal_gryus_R.nii;0.1270715590636599;0.007685236;192;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;Angualr_gyrus.nii;0.12570776053713204;-0.001471582;332;9;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Post_Temporal_Fusiform_Cortex_L.nii;0.12557955505641608;-0.000571289;237;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Post_Temporal_Fusiform_Cortex_R.nii;0.12557955505641608;-0.000571289;237;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;Temporal_Pole_R.nii;0.12453722157005934;-0.008035401;1333;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;Temporal_Pole_L.nii;0.12453722157005934;-0.008035401;1333;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;lebendig_begraben;Angualr_gyrus.nii;0.12442760816870431;-0.035129976;332;4;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;post_Sup_Temporal_gyrus_L.nii;0.12393902342196743;0.024183183401941585;242;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;post_Sup_Temporal_gyrus_R.nii;0.12393902342196743;0.024183183401941585;242;6;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;dlpfc(middle_frontal_gyrus)_R.nii;0.12314871219166948;-0.000527284;727;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;dlpfc(middle_frontal_gyrus)_L.nii;0.12314871219166948;-0.000527284;727;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_blaue_karfunkel;sup_frontal_gyrus.nii;0.1224438923216905;-0.011090304;625;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Precuenus_cortex.nii;0.12178959273673157;-0.005169652;1413;8;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Occipital_Fusiform_Gyrus_R.nii;0.12125293049951896;0.026050023797831685;274;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Occipital_Fusiform_Gyrus_L.nii;0.12125293049951896;0.026050023797831685;274;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;vmpfc(frontal_oribtal_cortex)_L.nii;0.1209680407049857;0.001542192;731;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;vmpfc(frontal_oribtal_cortex)_R.nii;0.1209680407049857;0.001542192;731;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;dlpfc(middle_frontal_gyrus)_R.nii;0.12016697410389861;0.005564865;727;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;dlpfc(middle_frontal_gyrus)_L.nii;0.12016697410389861;0.005564865;727;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;Paracingulate_gyrus.nii;0.11966617830117503;0.007368408;809;11;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Temporal_Pole_R.nii;0.1196258692954001;-3.17E-05;1333;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Temporal_Pole_L.nii;0.1196258692954001;-3.17E-05;1333;7;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;sup_frontal_gyrus.nii;0.11937773161186774;-0.001012131;625;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;SMA.nii;0.11926570216336109;0.004119696;322;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;vmpfc(frontal_oribtal_cortex)_L.nii;0.1190234886474852;-0.005557241;731;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;vmpfc(frontal_oribtal_cortex)_R.nii;0.1190234886474852;-0.005557241;731;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_katechismus_der_familie_musgrave;SMA.nii;0.1185761124737958;0.011033658418241308;322;4;0;0
