roi,mean_delta_beta,ci_lo_delta_beta,ci_hi_delta_beta,cohens_d_delta,mean_beta_shift_unique,ci_lo_shift,ci_hi_shift,cohens_d_shift,p_simes_unique_shift,mean_beta_drift_unique,ci_lo_drift,ci_hi_drift,cohens_d_drift,p_simes_unique_drift,p_simes_delta_beta,n_vox
15_Right_Thalamus.nii,0.0035092134740241994,-0.005725770778033321,0.011748128585413523,0.2091345306395766,-0.001741921656366369,-0.006534867569699265,0.0028924096578004876,-0.1928836547823863,0.17915473088669212,-0.005251135130390567,-0.011108082129824705,-0.00040205678510790466,-0.5111001201368774,0.0007768712100113738,0.3185657374650679,80
16_Inferior_Temporal_Gyrus_temporooccipital_part_left.nii,0.007797400526133379,0.004149017670698748,0.013109009340871803,0.9326557387534422,0.0039520689257083385,-5.253146679572773e-05,0.006892017383365891,0.5992469104515568,0.042280570597871346,-0.003845331600425039,-0.006857995785674612,-0.0011930999235416006,-0.7073907537004117,0.0006618286320415441,0.0215014424444152,363
16_Inferior_Temporal_Gyrus_temporooccipital_part_right.nii,-0.003717562119363034,-0.010723860365970879,0.004088358284407555,-0.25950497530455174,-0.0003787481331411016,-0.0067439644061216214,0.0024858573190854796,-0.04785143981553535,0.04740180530441236,0.0033388139862219352,-0.0034264083801881424,0.0095928931368917,0.2648972768631447,0.032542005430688616,0.023551136592992485,342
16_Right_Caudate.nii,-0.0025448798193594283,-0.010387766526428909,0.003670060361554087,-0.18951592712931092,-0.003195592169077486,-0.008192281373187253,-4.903478283751321e-05,-0.42925963188497146,0.020646013004627525,-0.0006507123497180576,-0.006132495211155362,0.004794666946058627,-0.06157313518171362,0.06814926014299376,0.6610526708586941,45
17_Postcentral_Gyrus_left.nii,-0.00039739977360284785,-0.0070232564753579495,0.01034953405369128,-0.024949476706111084,0.001510931133664279,-0.001272816370670815,0.0035019531573788833,0.34019259117907946,0.03144108771776119,0.001908330907267128,-0.012684881830435963,0.007809535177458827,0.11344175367091776,0.01630590481929586,0.0010501698781690077,1362
17_Postcentral_Gyrus_right.nii,-0.005061739986584721,-0.013381875235312037,0.009015606290315297,-0.2483020817557192,-0.0009235153946632066,-0.005529301091201399,0.002527737787546649,-0.12130743089301554,0.00046256890083669366,0.0041382245919215094,-0.011242597429676388,0.010452651971760055,0.22978679284115447,0.006534585655008211,0.012631041304312588,1274
17_Right_Putamen.nii,-0.002191032544271269,-0.010601832438096497,0.002730453536338206,-0.1810589712689568,-0.00300847729439101,-0.008253735612638338,0.0027790279553764822,-0.2853589599605536,0.04533306102101554,-0.0008174447501197419,-0.005300713865246742,0.003375257448550874,-0.09730004577501723,0.12735503649042335,0.05068816818356207,5
18_Superior_Parietal_Lobule_left.nii,-0.006853877459965056,-0.02018164706037849,0.006836636081972564,-0.26282661930960194,0.0006015971851059787,-0.003975129402904762,0.006210408715960742,0.06214763681110068,0.007152414193586697,0.007455474645071046,-0.005826377408736895,0.018417737611079826,0.3222810242092913,0.06760420242692032,0.029578252906162717,726
18_Superior_Parietal_Lobule_right.nii,-0.003994884359630839,-0.01449864449124176,0.007484282944274376,-0.1873455423990633,0.007023656631407366,-0.0011543141621645444,0.014583358720325163,0.4659212129924919,0.04847191273865095,0.0110185409910382,0.0015732755477286043,0.018037329361185128,0.7051717109016897,0.015894526353499364,0.052804439600917186,452
19_Right_Hippocampus.nii,-0.003797464404802762,-0.00788958974886719,0.0018763573110449842,-0.4122447405959113,-0.0032035429411460675,-0.005914423311468243,1.9364828347674226e-05,-0.5690993455604344,0.0001035142214491294,0.0005939214636566934,-0.003153766013731277,0.0033282509007859767,0.09588239999328876,0.00604213911871411,0.005905928991798723,262
