roi,story,delta_beta,beta_shift_unique,beta_drift_unique
11_Middle_Temporal_Gyrus_anterior_division_left.nii,der_fall_stretelli,0.02096619997813112,0.018186034958558542,-0.0027801650195725886
11_Middle_Temporal_Gyrus_anterior_division_left.nii,der_katechismus_der_familie_musgrave,0.032777748912067375,0.03121262384930487,-0.0015651250627625314
11_Middle_Temporal_Gyrus_anterior_division_left.nii,die_maske_des_roten_todes,0.023002518026263012,0.021602001317960105,-0.0014005167083028854
11_Middle_Temporal_Gyrus_anterior_division_left.nii,die_pflanzen_des_dr,0.06580048468965949,0.05007310475390961,-0.015727379935749918
11_Middle_Temporal_Gyrus_anterior_division_left.nii,die_schwarze_katze,0.030236566023204778,0.03298196503401694,0.0027453990108121016
11_Middle_Temporal_Gyrus_anterior_division_left.nii,fuenf_apfelsinenkerne,0.04273054867074156,0.03755114641396586,-0.005179402256775703
11_Middle_Temporal_Gyrus_anterior_division_left.nii,koenig_pest,0.029576668600381287,0.025618923405553534,-0.003957745194827752
11_Middle_Temporal_Gyrus_anterior_division_left.nii,lebendig_begraben,0.042143291175700544,0.01904795450622098,-0.023095336669479563
11_Middle_Temporal_Gyrus_anterior_division_left.nii,ligeia,0.037146963763118955,0.030706196821543918,-0.006440766941575049
11_Middle_Temporal_Gyrus_anterior_division_left.nii,maupassant_hand,0.016888496682383174,0.023451935446367977,0.0065634387639847925
11_Middle_Temporal_Gyrus_anterior_division_left.nii,mord_in_sunningdale,0.036391827134895964,0.038417694887614075,0.0020258677527181406
11_Middle_Temporal_Gyrus_anterior_division_right.nii,das_manuskript_in_der_flasche,0.0286232275032666,0.028852173263603377,0.00022894576033679178
11_Middle_Temporal_Gyrus_anterior_division_right.nii,der_blaue_karfunkel,0.025886658036506135,0.022485613295848934,-0.0034010447406572102
11_Middle_Temporal_Gyrus_anterior_division_right.nii,der_fall_stretelli,-0.0007454223152373126,0.008579914175251266,0.009325336490488582
11_Middle_Temporal_Gyrus_anterior_division_right.nii,der_katechismus_der_familie_musgrave,0.01008260319889573,0.01684415481312649,0.006761551614230757
11_Middle_Temporal_Gyrus_anterior_division_right.nii,die_maske_des_roten_todes,0.02418492929048274,0.034776387062135504,0.010591457771652747
11_Middle_Temporal_Gyrus_anterior_division_right.nii,die_pflanzen_des_dr,0.025197892261963045,0.023118157537891218,-0.0020797347240718296
11_Middle_Temporal_Gyrus_anterior_division_right.nii,die_schwarze_katze,0.018573600378592094,0.02291698379354145,0.004343383414949356
11_Middle_Temporal_Gyrus_anterior_division_right.nii,fuenf_apfelsinenkerne,0.008936714820763253,0.013021805571949777,0.004085090751186524
11_Middle_Temporal_Gyrus_anterior_division_right.nii,koenig_pest,0.00786383587091294,0.012707664352659142,0.004843828481746196
11_Middle_Temporal_Gyrus_anterior_division_right.nii,lebendig_begraben,0.026013874355667682,0.00397944397829566,-0.022034430377372013
11_Middle_Temporal_Gyrus_anterior_division_right.nii,ligeia,0.010337172354272818,0.017200389575168017,0.006863217220895205
11_Middle_Temporal_Gyrus_anterior_division_right.nii,maupassant_hand,0.012199726940222257,0.01777979005682794,0.005580063116605682
11_Middle_Temporal_Gyrus_anterior_division_right.nii,mord_in_sunningdale,0.033918442218828365,0.028929878439450815,-0.004988563779377542
12_Middle_Temporal_Gyrus_posterior_division_left.nii,das_manuskript_in_der_flasche,0.016124871692549874,0.021023628933710525,0.0048987572411606384
12_Middle_Temporal_Gyrus_posterior_division_left.nii,der_blaue_karfunkel,0.020448654996910134,0.01818680517181771,-0.0022618498250924295
12_Middle_Temporal_Gyrus_posterior_division_left.nii,der_fall_stretelli,0.014424028508186158,0.007959910673883889,-0.006464117834302267
12_Middle_Temporal_Gyrus_posterior_division_left.nii,der_katechismus_der_familie_musgrave,0.01887473269348357,0.021121911470296628,0.00224717877681305
12_Middle_Temporal_Gyrus_posterior_division_left.nii,die_maske_des_roten_todes,-0.0032670070697260615,0.011654880548617208,0.014921887618343286
12_Middle_Temporal_Gyrus_posterior_division_left.nii,die_pflanzen_des_dr,0.02318689268117511,0.02585025270766379,0.0026633600264886715
12_Middle_Temporal_Gyrus_posterior_division_left.nii,die_schwarze_katze,0.019816778541674043,0.024586299831472338,0.004769521289798322
12_Middle_Temporal_Gyrus_posterior_division_left.nii,fuenf_apfelsinenkerne,0.01277745150323463,0.016721713795614046,0.0039442622923794145
12_Middle_Temporal_Gyrus_posterior_division_left.nii,koenig_pest,0.01578985077166801,0.02034949798180457,0.0045596472101365575
12_Middle_Temporal_Gyrus_posterior_division_left.nii,lebendig_begraben,0.02643456929204187,0.013164167687528754,-0.013270401604513114
12_Middle_Temporal_Gyrus_posterior_division_left.nii,ligeia,0.012581232227125896,0.014024590411034434,0.0014433581839085287
12_Middle_Temporal_Gyrus_posterior_division_left.nii,maupassant_hand,0.009776200114272927,0.013831019071316114,0.00405481895704319
12_Middle_Temporal_Gyrus_posterior_division_left.nii,mord_in_sunningdale,0.029651445478136314,0.027110773842814163,-0.0025406716353221555
12_Middle_Temporal_Gyrus_posterior_division_right.nii,das_manuskript_in_der_flasche,0.026773989733349265,0.03904576062048201,0.012271770887132773
12_Middle_Temporal_Gyrus_posterior_division_right.nii,der_blaue_karfunkel,0.019311760746915506,0.028164909597632157,0.008853148850716664
12_Middle_Temporal_Gyrus_posterior_division_right.nii,der_fall_stretelli,0.021252012783890727,0.018477033166547883,-0.0027749796173428365
12_Middle_Temporal_Gyrus_posterior_division_right.nii,der_katechismus_der_familie_musgrave,0.017699483903630124,0.031718498326782925,0.014019014423152813
12_Middle_Temporal_Gyrus_posterior_division_right.nii,die_maske_des_roten_todes,0.03589572418006955,0.04503114514148561,0.009135420961416061
12_Middle_Temporal_Gyrus_posterior_division_right.nii,die_pflanzen_des_dr,0.019111070116285437,0.033279132704494105,0.014168062588208642
12_Middle_Temporal_Gyrus_posterior_division_right.nii,die_schwarze_katze,0.007689120039745591,0.01918667201687885,0.011497551977133254
12_Middle_Temporal_Gyrus_posterior_division_right.nii,fuenf_apfelsinenkerne,0.019868119473777975,0.030519401094879033,0.010651281621101072
12_Middle_Temporal_Gyrus_posterior_division_right.nii,koenig_pest,0.03324753898237445,0.030613405498286513,-0.0026341334840879306
12_Middle_Temporal_Gyrus_posterior_division_right.nii,lebendig_begraben,0.04231795782582254,0.011141748438723053,-0.0311762093870995
12_Middle_Temporal_Gyrus_posterior_division_right.nii,ligeia,0.009203410062980073,0.010003814553186795,0.0008004044902067182
12_Middle_Temporal_Gyrus_posterior_division_right.nii,maupassant_hand,0.02065510402288053,0.01834146255680004,-0.002313641466080473
12_Middle_Temporal_Gyrus_posterior_division_right.nii,mord_in_sunningdale,0.016552689677804575,0.0218050671895608,0.005252377511756233
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,das_manuskript_in_der_flasche,-0.001373376486062881,-0.001376540375292651,-3.163889229767271e-06
13_Middle_Temporal_Gyrus_temporooccipital_part_left.nii,der_blaue_karfunkel,0.01748418432147853,0.016878803403443516,-0.0006053809180350204
